Material,Attribute,Object,Entropy,Details
589,311,275,1.374,	cabinet,467 wood,38 laminate,30 cabinet,14 paper,40 other
381,197,196,3.007,	wall,110 brick,100 ceramic,54 wood,34 stone,21 wall,18 paper,44 other
210,126,104,2.412,	worktop,106 stone,37 wood,26 ceramic,8 laminate,8 worktop,7 glass,5 metal,13 other
191,119,77,2.686,	floor,67 ceramic,46 wood,34 stone,13 laminate,10 floor,6 fabric,15 other
171,84,73,1.546,	window,109 glass,38 wood,14 window,5 metal,5 other
171,99,99,2.388,	ceiling lamp,93 glass,20 metal,20 plastic,13 ceiling,6 fabric,19 other
162,83,68,1.423,	stove,124 metal,16 stove,6 glass,4 ceramic,12 other
140,67,59,1.576,	sink,105 metal,9 ceramic,8 sink,4 glass,4 stone,10 other
119,68,78,1.427,	cabinets,90 wood,11 cabinet,5 metal,4 paper,3 laminate,6 other
111,58,48,2.603,	plate,34 plastic,33 ceramic,17 plate,7 glass,6 metal,5 fabric,3 paper,3 plant,3 other
104,56,59,3.038,	ceiling,32 brick,20 wood,17 ceramic,8 cement,6 ceiling,4 paper,4 stone,3 fabric,3 plaster,7 other
95,50,41,2.429,	chair,53 wood,9 metal,9 plastic,8 chair,3 laminate,13 other
90,35,35,2.183,	microwave,49 metal,10 ceramic,9 microwave,7 glass,7 plastic,5 fabric,3 other
86,38,40,1.981,	oven,56 metal,8 fabric,6 glass,5 oven,11 other
81,35,30,2.017,	refrigerator,50 metal,10 refrigerator,8 fabric,3 wood,10 other
74,38,50,1.381,	faucet,58 metal,4 wood,3 faucet,3 plastic,6 other
71,39,52,2.049,	plant,40 plant,17 plastic,3 fabric,11 other
63,25,39,1.5,	drawer,46 wood,5 fabric,5 paper,3 drawer,4 other
62,27,26,2.205,	flowers,31 plant,15 plastic,6 flower,3 fabric,7 other
62,23,50,3.042,	pot,24 ceramic,9 pot,7 glass,5 metal,3 plastic,14 other
59,36,44,2.632,	bowl,22 glass,11 ceramic,8 plastic,7 bowl,4 metal,7 other
58,37,17,1.683,	table,39 wood,8 glass,4 table,7 other
57,21,23,1.976,	extractor hood,34 metal,9 wood,5 extractor,3 fabric,6 other
51,23,38,2.06,	outlet,30 plastic,6 fabric,4 wood,3 metal,3 outlet,5 other
50,19,26,1.48,	door,38 wood,3 door,9 other
50,19,18,1.351,	curtain,36 fabric,9 curtain,5 other
45,26,34,1.067,	glass,35 glass,5 ceramic,4 plastic,1 other
43,22,17,1.259,	wine glass,30 glass,8 wine,4 water,1 other
43,24,25,2.084,	mug,17 plastic,12 ceramic,5 glass,5 mug,4 metal,0 other
